School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2011,Reading,6,6937,West Burlington,33.0,49.0,67.4,60.1 - 70%,"607 Ramsey St
West Burlington, Iowa 52655
(40.820228036, -91.159167305)"
2011,Math,6,6762,Wapsie Valley,48.0,53.0,90.6,90.1 - 100%,"2535 Viking Avenue
Fairbank, Iowa 50629
(42.679990164, -92.140653041)"
2011,Math,3,4776,North Mahaska,31.0,35.0,88.6,80.1 - 90%,"2163 135th St
New Sharon, Iowa 502070089
(41.458931622, -92.649667528)"
2011,Math,8,6165,Stanton,11.0,13.0,84.6,80.1 - 90%,"605 Elliott Street
Stanton, Iowa 51573
(40.984178043001, -95.100395388)"
2011,Math,6,3141,Iowa City,616.0,793.0,77.7,70.1 - 80%,"1725 N. Dodge Street
Iowa City, Iowa 52245
(41.680405278, -91.509737266)"
2011,Reading,8,6985,West Marshall,49.0,54.0,90.7,90.1 - 100%,"601 3rd St. NW
State Center, Iowa 502470670
(42.018512416, -93.170507544)"
2011,Reading,11,2781,Hampton-Dumont,69.0,99.0,69.7,60.1 - 70%,"601 - 12th Avenue NE
Hampton, Iowa 50441
(42.752611573, -93.198421245)"
2011,Reading,4,4203,Mediapolis,43.0,50.0,86.0,80.1 - 90%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.01322067, -91.160449839)"
2011,Math,6,5486,Remsen-Union,27.0,32.0,84.4,80.1 - 90%,"511 Roosevelt St
Remsen, Iowa 51050
(42.808784214, -95.96593844)"
2011,Reading,6,126,Algona,56.0,72.0,77.8,70.1 - 80%,"600 S. Hale Street
Algona, Iowa 50511
(43.064591468, -94.223225436)"
2011,Math,3,2727,Grundy Center,44.0,47.0,93.6,90.1 - 100%,"1301 12th St
Grundy Center, Iowa 50638
(42.355821733, -92.779325568)"
2011,Reading,6,1737,Des Moines,1053.0,1963.0,53.6,50.1 - 60%,"901 Walnut Street
Des Moines, Iowa 50309
(41.584997496, -93.62919604)"
